condition,seed,kind,expected_beep,beep_count,beep_onsets_seconds,reaction_seconds,false_beep,pressed_seconds,passed,connected,maximum_button_travel,maximum_wheel_angle,all_quiet
disconnected,132013,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132014,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132015,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132016,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132017,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132018,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132019,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132020,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132021,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132022,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132023,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132024,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132025,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132026,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132027,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132028,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,132029,arrive_green,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,133000,stays_red,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,133001,stays_red,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,133002,stays_red,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
